image_url,name,rate,price
https://m.media-amazon.com/images/I/71STjq0ngYL._AC_UL320_ML3_.jpg,"KAUKKO Laptop Outdoor Backpack, Traveling Rucksack Fits 15.6 Inch Laptop",4.6 out of 5 stars,4.6 out of 5 stars,$38.99
https://m.media-amazon.com/images/I/91PmTACP8LL._AC_UL320_ML3_.jpg,Women Canvas Handbag Kaukko Shoulder Bag Cat Big Tote Bag,4.7 out of 5 stars,4.7 out of 5 stars,$18.99
https://m.media-amazon.com/images/I/81IpM8n24RL._AC_UL320_ML3_.jpg,"KAUKKO Laptop Outdoor Backpack Travel Hiking Camping Rucksack Casual College Daypack Fits 15""",4.6 out of 5 stars,4.6 out of 5 stars,$40.99
https://m.media-amazon.com/images/I/91u1XncIVJL._AC_UL320_ML3_.jpg,Drawstring Sports Backpack Gym Yoga Sackpack Shoulder Rucksack for Men and Women,4.3 out of 5 stars,4.3 out of 5 stars,$19.99
https://m.media-amazon.com/images/I/61jyMMEsBzL._AC_UL320_ML3_.jpg,Mens Vintage Canvas Shoulder Messenger Bag Chest Leather Patchwork Messenger Bag,4.5 out of 5 stars,4.5 out of 5 stars,$25.99
https://m.media-amazon.com/images/I/61Dx5RcRUaL._AC_UL320_ML3_.jpg,KAUKKO Stylish Oxford Fabric Backpack Travel Rucksack lightweight Hiking Bag Satchel,,,$33.99
https://m.media-amazon.com/images/I/81yBoG5h1GL._AC_UL320_ML3_.jpg,KAUKKO Canvas Messenger Bag Cross Body Shoulder Sling Backpack Travel Hiking Chest Bag,4.4 out of 5 stars,4.4 out of 5 stars,
https://m.media-amazon.com/images/I/810NhRGeKoL._AC_UL320_ML3_.jpg,KAUKKO Multipurpose Canvas Backpack Daypack Hiking Travel Shoulder Bag Backpacks,4.3 out of 5 stars,4.3 out of 5 stars,$31.99
https://m.media-amazon.com/images/I/615oGcTuuGL._AC_UL320_ML3_.jpg,"Stylish School Bookbag Kaukko College Student Laptop Backpacks fit 14"" Laptops (Black-KS05-2)",3.9 out of 5 stars,3.9 out of 5 stars,$30.99
https://m.media-amazon.com/images/I/71uk8Eh6x+L._AC_UL320_ML3_.jpg,KAUKKO New Designed Laptop Backpack Rucksack Outdoor Hiking Camping Travel Daypack School Backpack,3.9 out of 5 stars,3.9 out of 5 stars,$25.10
